id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19681925,Safe Clean Haven- 2BR Home w/ Backyard- UBC/YVR/DT,34696573,Cammy,,Kerrisdale,49.22333,-123.15761,Entire home/apt,265,2,55,2020-06-13,1.29,5,0
19682594,2bdr Newly Reno Entire Suite in Mount Pleasant,66964288,Denelle,,Mount Pleasant,49.25841,-123.11305,Entire home/apt,120,30,32,2019-08-31,0.70,4,316
19697558,Chic Kitsilano Character Home,36040844,Deb And Jim,,Kitsilano,49.25895,-123.16627,Entire home/apt,128,4,117,2020-12-19,2.60,2,217
19699282,Premium 3BR Duplex Downtown,10767616,Gint,,West End,49.27751,-123.13336,Entire home/apt,285,3,24,2019-09-30,0.53,1,0
19712884,Modern Loft | 2-Levels w/Balcony (shared room),1522256,Natalia,,Downtown Eastside,49.28258,-123.10833,Shared room,179,1,9,2019-08-18,0.20,3,365
19731721,"Luxurious, modern Condo in heart of Downtown!",14343056,Jude,,Downtown,49.28026,-123.11845,Entire home/apt,159,30,2,2017-07-09,0.04,1,89
19732942,Student Studio with Private Bathroom,40789407,Jenny,,Arbutus Ridge,49.24242,-123.16926,Private room,30,30,2,2020-11-24,0.18,2,164
19744355,"High-End, Central , 10 min walk to Sunset Beach :)",967999,Haider,,Downtown,49.27745,-123.12767,Private room,91,1,158,2020-03-18,3.87,1,0
19747962,"Prime Spot in Kits! By Transit, Beach, DT, Food",139293329,Arvin,,Kitsilano,49.26965,-123.15376,Private room,34,1,97,2020-12-29,2.12,1,336
19762397,Prime Downtown Vancouver - junior 1 bedroom,24203518,Eleanor,,West End,49.28215,-123.12503,Entire home/apt,85,30,18,2021-03-12,0.42,1,134
19791304,Convenient Room in Central Vancouver,139762948,Jervis,,Sunset,49.22844,-123.09713,Private room,75,3,59,2020-03-15,1.32,3,172
19791653,Comfortable room in central Vancouver,139762948,Jervis,,Sunset,49.2285,-123.09674,Private room,65,3,49,2020-03-08,1.09,3,104
19792418,Dreamy Hideout in Lively Walkable Neighbourhood,57488206,Jessi,,Hastings-Sunrise,49.28357,-123.05649,Entire home/apt,46,3,60,2019-09-19,1.32,3,0
19798566,2 bd condo w/ city+mtn views; 30day min,64053004,Sarah,,Fairview,49.26066,-123.11585,Entire home/apt,250,30,23,2020-11-24,0.51,1,133
19805434,Bright & Airy 1 Bedroom Plus Den On Oak,139891966,,,Fairview,49.25986,-123.12692,Entire home/apt,85,30,8,2021-03-06,0.18,29,0
19826523,Beautiful Private Room in Vancouver.,123037854,Maximiliano,,Killarney,49.23178,-123.02587,Private room,55,7,10,2018-08-14,0.22,1,0
19831337,Bright and Cozy Garden Suite,4134885,Fenton,,Hastings-Sunrise,49.27729,-123.05511,Entire home/apt,100,3,24,2018-12-30,0.53,1,0
19832108,188 Keefer Place Vancouver  Rogers Arena,32234579,Lisa,,Riley Park,49.23939,-123.09124,Entire home/apt,165,31,3,2018-05-03,0.07,1,0
19858020,"Private, beautiful 2 bedrooms home in Vancouver!",18874345,Billy,,Hastings-Sunrise,49.27765,-123.04208,Entire home/apt,100,2,107,2020-05-06,2.46,1,70
19860252,155 1 BED EXTENDED STAY IN YALETOWN,600607,Bruce,,Downtown,49.27748,-123.12211,Entire home/apt,91,180,0,,,46,220
19862607,"Renovated, bright craftsman home - 3BED 2BATH",23953859,Dave,,Mount Pleasant,49.26084,-123.09042,Entire home/apt,99,4,14,2020-02-17,0.31,2,0
19866248,5 minutes to UBC - Bright Cozy Studio,39181323,Isabel,,Kitsilano,49.26144,-123.1851,Entire home/apt,78,3,19,2019-09-01,0.42,1,180
19879167,Two Private Bedrooms & Private Bath in Mt Pleasant,31913507,Katelin,,Mount Pleasant,49.25912,-123.08006,Private room,120,1,79,2020-08-23,2.40,3,0
19893714,Lilly Pad Suite,91911638,Antonio,,Hastings-Sunrise,49.27449,-123.03915,Entire home/apt,75,5,61,2021-03-27,1.44,1,233
19894347,Luxurious Coal Harbour Downtown with Ocean views,134758907,Vida,,Downtown,49.29019,-123.12516,Entire home/apt,84,30,21,2020-01-23,0.48,10,41
19915265,Character apartment good location,141065817,Lisa,,Fairview,49.26156,-123.14305,Entire home/apt,205,2,4,2018-07-21,0.09,1,0
19915935,DOWNTOWN West End - 2BDRM/1BATH - AMAZING LOCATION,48874519,Nick,,West End,49.28548,-123.13309,Entire home/apt,249,4,19,2020-09-04,0.43,1,0
19925483,"Kitsilano Studio (Near Downtown, UBC & Beaches)",29662800,Christina,,Kitsilano,49.26615,-123.16606,Entire home/apt,83,1,168,2020-03-18,3.73,1,0
19931091,Top Floor Kitsilano Studio Great View,141214749,Adriano,,Kitsilano,49.26584,-123.15036,Entire home/apt,70,30,47,2020-02-13,1.04,2,0
19931966,Gorgeous Coal Harbour view of Vancouver Downtown,134758907,Vida,,Downtown,49.2884,-123.12605,Entire home/apt,78,30,22,2019-11-25,0.53,10,61
19945141,Corporate Stays | Telus | Ultramodern 1 BR!,38459934,Corporate Stays,,Downtown,49.27968,-123.11787,Entire home/apt,151,32,4,2020-12-31,0.09,34,45
19946831,Modern 1 Bedroom Suite on West Side of Vancouver,141368965,Carolyn,,Kerrisdale,49.23139,-123.15835,Entire home/apt,85,1,116,2020-09-21,2.61,1,248
19953194,2 bdrm near Commercial Drive,7774356,Brian,,Kensington-Cedar Cottage,49.25952,-123.07153,Entire home/apt,115,3,31,2021-03-06,0.69,1,138
19953963,3 Bed Townhouse w Priv Rooftop (min 30 days),4292086,Anne,,Fairview,49.26488,-123.12248,Entire home/apt,246,30,34,2019-06-04,0.75,14,0
