listing_id,date
125176,2014-10-12
125176,2014-10-16
125176,2014-12-01
125176,2014-12-14
125176,2014-12-27
125176,2014-12-31
125176,2015-01-04
125176,2015-01-12
125176,2015-01-19
125176,2015-01-28
125176,2015-01-31
125176,2015-02-05
125176,2015-02-08
125176,2015-02-12
125176,2015-02-14
125176,2015-02-16
125176,2015-02-18
125176,2015-02-23
125176,2015-02-27
125176,2015-03-01
125176,2015-03-04
125176,2015-03-08
125176,2015-03-10
125176,2015-03-15
125176,2015-03-17
125176,2015-03-30
125176,2015-04-07
125176,2015-04-10
125176,2015-04-16
125176,2015-04-20
125176,2015-04-24
125176,2015-04-30
125176,2015-05-10
125176,2015-05-16
125176,2015-05-23
125176,2015-05-26
125176,2015-05-29
125176,2015-06-01
125176,2015-06-06
125176,2015-06-13
125176,2015-06-23
125176,2015-06-27
125176,2015-06-29
125176,2015-07-06
125176,2015-07-15
125176,2015-08-03
125176,2015-08-05
125176,2015-08-15
125176,2015-08-17
125176,2015-08-20
125176,2015-08-23
125176,2015-08-30
125176,2015-09-03
125176,2015-09-05
125176,2015-09-10
125176,2015-09-13
125176,2015-09-16
125176,2015-09-26
125176,2015-09-29
125176,2015-10-02
125176,2015-10-07
125176,2015-10-10
125176,2015-10-13
125176,2015-10-17
125176,2015-10-22
125176,2015-11-08
125176,2015-11-15
125176,2015-11-19
125176,2015-11-23
125176,2015-11-27
125176,2015-11-29
125176,2015-12-09
125176,2015-12-13
125176,2015-12-21
125176,2015-12-23
125176,2015-12-27
125176,2015-12-29
125176,2015-12-31
125176,2016-01-02
125176,2016-01-12
125176,2016-01-14
125176,2016-01-17
125176,2016-01-20
125176,2016-01-28
125176,2016-01-31
125176,2016-02-13
125176,2016-02-15
125176,2016-02-20
125176,2016-02-22
125176,2016-02-29
125176,2016-03-06
125176,2016-03-08
125176,2016-03-10
125176,2016-03-13
125176,2016-03-16
125176,2016-03-20
125176,2016-03-22
125176,2016-03-24
125176,2016-03-27
125176,2016-04-02
125176,2016-04-08
125176,2016-04-19
125176,2016-04-23
125176,2016-04-25
125176,2016-04-29
125176,2016-05-02
125176,2016-05-04
125176,2016-05-13
125176,2016-05-16
125176,2016-05-19
125176,2016-05-21
125176,2016-05-25
125176,2016-05-28
125176,2016-06-04
125176,2016-06-07
125176,2016-06-13
125176,2016-06-19
125176,2016-06-23
125176,2016-06-26
125176,2016-07-03
125176,2016-07-06
125176,2016-07-11
125176,2016-07-16
125176,2016-07-23
125176,2016-07-26
125176,2016-07-28
125176,2016-08-05
125176,2016-08-08
125176,2016-08-11
125176,2016-08-13
125176,2016-08-17
125176,2016-08-19
125176,2016-08-29
125176,2016-09-07
125176,2016-09-21
125176,2016-09-23
125176,2016-10-04
125176,2016-10-06
125176,2016-10-11
125176,2016-10-13
125176,2016-10-15
125176,2016-10-24
125176,2016-10-30
125176,2016-11-04
125176,2016-11-13
125176,2016-11-18
125176,2016-11-26
125176,2016-11-28
125176,2016-12-05
125176,2016-12-08
125176,2016-12-11
125176,2016-12-13
125176,2016-12-20
125176,2016-12-23
125176,2017-01-03
125176,2017-01-12
125176,2017-01-15
125176,2017-01-22
125176,2017-01-30
125176,2017-02-06
125176,2017-02-15
125176,2017-02-26
125176,2017-03-01
125176,2017-03-05
125176,2017-03-10
125176,2017-03-16
125176,2017-03-19
125176,2017-03-21
125176,2017-03-25
125176,2017-04-02
125176,2017-04-07
125176,2017-04-15
125176,2017-04-18
125176,2017-04-23
125176,2017-04-26
125176,2017-05-01
125176,2017-05-03
125176,2017-05-05
125176,2017-05-08
125176,2017-05-14
125176,2017-05-16
125176,2017-05-18
125176,2017-05-22
125176,2017-05-25
125176,2017-05-27
125176,2017-05-31
125176,2017-06-03
125176,2017-06-05
125176,2017-06-08
125176,2017-06-10
125176,2017-06-13
125176,2017-06-19
125176,2017-06-21
125176,2017-06-30
125176,2017-07-03
125176,2017-07-06
125176,2017-07-15
125176,2017-07-18
125176,2017-07-21
125176,2017-07-24
125176,2017-07-27
125176,2017-07-29
125176,2017-08-09
125176,2017-08-11
125176,2017-08-15
125176,2017-08-17
125176,2017-08-20
125176,2017-08-22
125176,2017-08-25
125176,2017-08-27
125176,2017-08-29
125176,2017-09-04
125176,2017-09-15
125176,2017-09-20
125176,2017-09-24
125176,2017-09-26
125176,2017-10-02
125176,2017-10-15
125176,2017-10-17
125176,2017-10-22
125176,2017-10-24
125176,2017-10-28
125176,2017-10-30
125176,2017-11-01
125176,2017-11-05
125176,2017-11-07
125176,2017-11-12
125176,2017-11-19
125176,2017-11-25
125176,2017-11-27
125176,2017-12-04
125176,2017-12-07
125176,2017-12-10
125176,2017-12-12
125176,2017-12-15
125176,2017-12-17
125176,2017-12-19
125176,2017-12-23
125176,2017-12-26
125176,2017-12-28
125176,2018-01-03
125176,2018-01-05
125176,2018-01-08
125176,2018-01-16
125176,2018-01-21
125176,2018-01-29
125176,2018-01-31
125176,2018-02-02
125176,2018-02-04
125176,2018-02-16
125176,2018-02-18
125176,2018-02-22
125176,2018-02-25
125176,2018-03-02
125176,2018-03-05
125176,2018-03-07
125176,2018-03-13
125176,2018-03-18
125176,2018-03-27
125176,2018-03-30
125176,2018-04-01
125176,2018-04-05
125176,2018-04-08
125176,2018-04-10
